sku,category,price
sku0000,Toilets,"$2,085.11"
sku0001,Misc,"$3,601.62"
sku0002,Misc,$0.57
sku0003,Faucets,"$1,511.66"
sku0004,Toilets,$733.78
sku0005,Showers,$461.69
sku0006,Misc,$931.30
sku0007,Faucets,"$1,727.80"
sku0008,Faucets,"$1,983.84"
sku0009,Toilets,"$2,694.08"
sku0010,Showers,"$2,095.97"
sku0011,Misc,"$3,426.10"
sku0012,Faucets,"$1,022.26"
sku0013,Misc,"$4,390.59"
sku0014,Misc,$136.94
sku0015,Misc,"$3,352.34"
sku0016,Faucets,"$2,086.52"
sku0017,Faucets,"$2,793.45"
sku0018,Faucets,$701.93
sku0019,Showers,$990.51
sku0020,Misc,"$4,003.72"
sku0021,Misc,"$4,841.31"
sku0022,Misc,"$1,567.12"
sku0023,Faucets,"$3,461.61"
sku0024,Showers,"$4,381.95"
sku0025,Toilets,"$4,473.03"
sku0026,Showers,$425.22
sku0027,Showers,$195.27
sku0028,Faucets,$849.15
sku0029,Toilets,"$4,390.71"
sku0030,Toilets,$491.73
sku0031,Faucets,"$2,105.54"
sku0032,Showers,"$4,789.45"
sku0033,Misc,"$2,665.83"
sku0034,Showers,"$3,459.39"
sku0035,Faucets,"$1,577.58"
sku0036,Faucets,"$3,432.50"
sku0037,Faucets,"$4,173.13"
sku0038,Showers,$91.44
sku0039,Misc,"$3,750.72"
sku0040,Faucets,"$4,944.31"
sku0041,Showers,"$3,740.83"
sku0042,Showers,"$1,402.22"
sku0043,Faucets,"$3,946.40"
sku0044,Toilets,$516.13
sku0045,Showers,"$2,239.47"
sku0046,Toilets,"$4,542.98"
sku0047,Showers,"$1,468.07"
sku0048,Showers,"$1,438.88"
sku0049,Showers,$650.14
sku0050,Faucets,$96.83
sku0051,Toilets,"$3,394.18"
sku0052,Faucets,"$1,058.14"
sku0053,Misc,"$1,327.73"
sku0054,Toilets,"$2,457.87"
sku0055,Showers,$266.81
sku0056,Toilets,"$2,870.59"
sku0057,Showers,$733.64
sku0058,Misc,"$2,946.53"
sku0059,Showers,"$3,498.79"
sku0060,Showers,$511.67
sku0061,Showers,"$2,070.28"
sku0062,Misc,"$3,472.00"
sku0063,Faucets,"$2,070.90"
sku0064,Faucets,$249.77
sku0065,Misc,"$2,679.48"
sku0066,Misc,"$3,318.97"
sku0067,Misc,"$2,574.45"
sku0068,Toilets,"$4,722.97"
sku0069,Showers,"$2,932.78"
sku0070,Faucets,"$4,517.01"
sku0071,Showers,$687.37
sku0072,Showers,$696.38
sku0073,Misc,"$4,036.96"
sku0074,Toilets,"$1,988.38"
sku0075,Toilets,$826.77
sku0076,Faucets,"$4,637.54"
sku0077,Misc,"$1,738.83"
sku0078,Misc,"$3,754.06"
sku0079,Showers,"$3,629.99"
sku0080,Showers,"$4,416.53"
sku0081,Toilets,"$3,118.36"
sku0082,Showers,"$3,754.71"
sku0083,Misc,"$1,744.49"
sku0084,Faucets,"$1,349.64"
sku0085,Faucets,"$4,479.43"
sku0086,Misc,"$2,140.46"
sku0087,Toilets,"$4,824.20"
sku0088,Faucets,"$3,317.21"
sku0089,Toilets,"$3,108.48"
sku0090,Toilets,$573.73
sku0091,Toilets,"$4,747.45"
sku0092,Misc,"$2,249.56"
sku0093,Misc,"$2,891.95"
sku0094,Misc,"$2,040.68"
sku0095,Showers,"$1,185.13"
sku0096,Faucets,"$4,516.90"
sku0097,Misc,"$2,868.40"
sku0098,Faucets,$14.35
sku0099,Showers,"$3,085.72"
sku0100,Toilets,"$1,633.22"
sku0101,Misc,"$2,635.29"
sku0102,Misc,"$4,429.71"
sku0103,Toilets,"$1,786.35"
sku0104,Misc,"$4,542.68"
sku0105,Showers,"$3,116.80"
sku0106,Faucets,$79.11
sku0107,Faucets,"$4,647.19"
sku0108,Faucets,"$3,454.48"
sku0109,Toilets,"$4,986.61"
sku0110,Faucets,$861.70
sku0111,Misc,$685.68
sku0112,Misc,"$4,662.98"
sku0113,Toilets,"$3,484.09"
sku0114,Toilets,$330.00
sku0115,Toilets,"$3,777.32"
